title,issn,publisher,subjectAreas,licenseAgreement,oaModel
Starch - Stärke,1521-379X,Wiley,,100%,Hybrid
Stat,2049-1573,Wiley,,100%,Hybrid
Statistica Neerlandica,1467-9574,Wiley,,100%,Hybrid
Statistical Analysis and Data Mining,1932-1872,Wiley,,100%,Hybrid
Statistics in Medicine,1097-0258,Wiley,,100%,Hybrid
Steel Construction: Design and Research,1867-0539,Wiley,,100%,Hybrid
Steel Research International,1869-344X,Wiley,,100%,Hybrid
Strain,1475-1305,Wiley,,100%,Hybrid
Strategic Change,1099-1697,Wiley,,100%,Hybrid
Strategic Entrepreneurship Journal,1932-443X,Wiley,,100%,Hybrid
Strategic Management Journal,1097-0266,Wiley,,100%,Hybrid
Stress and Health,1532-2998,Wiley,,100%,Hybrid
Structural Concrete,1751-7648,Wiley,,100%,Hybrid
Studia Linguistica,1467-9582,Wiley,,100%,Hybrid
Studies in Applied Mathematics,1467-9590,Wiley,,100%,Hybrid
Studies In Ethnicity and Nationalism,1754-9469,Wiley,,100%,Hybrid
Studies in Family Planning,1728-4465,Wiley,,100%,Hybrid
Suicide and Life-Threatening Behavior,1943-278X,Wiley,,100%,Hybrid
Support for Learning,1467-9604,Wiley,,100%,Hybrid
Surface and Interface Analysis,1096-9918,Wiley,,100%,Hybrid
Surgical Practice,1744-1633,Wiley,,100%,Hybrid
Sustainable Development,1099-1719,Wiley,,100%,Hybrid
Swiss Political Science Review,1662-6370,Wiley,,100%,Hybrid
Symbolic Interaction,1533-8665,Wiley,,100%,Hybrid
Synapse,1098-2396,Wiley,,100%,Hybrid
Syntax,1467-9612,Wiley,,100%,Hybrid
System Dynamics Review,1099-1727,Wiley,,100%,Hybrid
Systematic Entomology,1365-3113,Wiley,,100%,Hybrid
Systems Engineering,1520-6858,Wiley,,100%,Hybrid
Systems Research and Behavioral Science,1099-1743a,Wiley,,100%,Hybrid
TAXON,1996-8175,Wiley,,100%,Hybrid
Teaching Statistics,1467-9639,Wiley,,100%,Hybrid
Teaching Theology & Religion,1467-9647,Wiley,,100%,Hybrid
Tectonics,1944-9194,Wiley,,100%,Hybrid
Terra Nova,1365-3121,Wiley,,100%,Hybrid
TESOL Journal,1949-3533,Wiley,,100%,Hybrid
TESOL Quarterly,1545-7249,Wiley,,100%,Hybrid
The American Journal of Economics and Sociology,1536-7150,Wiley,,100%,Hybrid
The American Journal on Addictions,1521-0391,Wiley,,100%,Hybrid
The Anatomical Record,1932-8494,Wiley,,100%,Hybrid
The Australian Economic Review,1467-8462,Wiley,,100%,Hybrid
The Australian Journal of Agricultural and Resource Economics,1467-8489,Wiley,,100%,Hybrid
The Australian Journal of Anthropology,1757-6547,Wiley,,100%,Hybrid
The British Journal of Sociology,1468-4446,Wiley,,100%,Hybrid
The Canadian Journal of Chemical Engineering,1939-019X,Wiley,,100%,Hybrid
The Canadian Journal of Statistics/La revue canadienne de statistique,1708-945X,Wiley,,100%,Hybrid
The Career Development Quarterly,2161-0045,Wiley,,100%,Hybrid
The Chemical Record,1528-0691,Wiley,,100%,Hybrid
The Clinical Teacher,1743-498X,Wiley,,100%,Hybrid
The Curriculum Journal,1469-3704,Wiley,,100%,Hybrid
The Developing Economies,1746-1049,Wiley,,100%,Hybrid
The Economic History Review,1468-0289,Wiley,,100%,Hybrid
The Ecumenical Review,1758-6623,Wiley,,100%,Hybrid
The Electronic Journal of Information Systems in Developing Countries,1681-4835,Wiley,,100%,Hybrid
The FASEB Journal,1530-6860,Wiley,,100%,Hybrid
The FEBS Journal,1742-4658,Wiley,,100%,Hybrid
The Financial Review,1540-6288,Wiley,,100%,Hybrid
The Geographical Journal,1475-4959,Wiley,,100%,Hybrid
The German Quarterly,1756-1183,Wiley,,100%,Hybrid
The Heythrop Journal,1468-2265,Wiley,,100%,Hybrid
The Howard Journal of Crime and Justice,2059-1101,Wiley,,100%,Hybrid
The International Journal of Health Planning and Management,1099-1751,Wiley,,100%,Hybrid
The International Journal of Medical Robotics and Computer Assisted Surgery,1478-596X,Wiley,,100%,Hybrid
The Journal of American Culture,1542-734X,Wiley,,100%,Hybrid
The Journal of Clinical Pharmacology,1552-4604,Wiley,,100%,Hybrid
The Journal of Comparative Neurology,1096-9861,Wiley,,100%,Hybrid
The Journal of Creative Behavior,2162-6057,Wiley,,100%,Hybrid
The Journal of Dermatology,1346-8138,Wiley,,100%,Hybrid
The Journal of Finance,1540-6261,Wiley,,100%,Hybrid
The Journal of Futures Markets,1096-9934,Wiley,,100%,Hybrid
The Journal of Gene Medicine,1521-2254,Wiley,,100%,Hybrid
The Journal of Humanistic Counseling,2161-1939,Wiley,,100%,Hybrid
The Journal of Industrial Economics,1467-6451,Wiley,,100%,Hybrid
The Journal of Latin American and Caribbean Anthropology,1935-4940,Wiley,,100%,Hybrid
The Journal of Pathology,1096-9896,Wiley,,100%,Hybrid
The Journal of Physiology,1469-7793,Wiley,,100%,Hybrid
The Journal of Political Philosophy,1467-9760,Wiley,,100%,Hybrid
The Journal of Popular Culture,1540-5931,Wiley,,100%,Hybrid
The Journal of Rural Health,1748-0361,Wiley,,100%,Hybrid
The Journal of Wildlife Management,1937-2817,Wiley,,100%,Hybrid
The Journal of World Intellectual Property,1747-1796,Wiley,,100%,Hybrid
The Laryngoscope,1531-4995,Wiley,,100%,Hybrid
The Manchester School,1467-9957,Wiley,,100%,Hybrid
The Milbank Quarterly,1468-0009,Wiley,,100%,Hybrid
The Modern Language Journal,1540-4781,Wiley,,100%,Hybrid
The Modern Law Review,1468-2230,Wiley,,100%,Hybrid
The Muslim World,1478-1913,Wiley,,100%,Hybrid
The Obstetrician & Gynaecologist,1744-4667,Wiley,,100%,Hybrid
The Philosophical Forum,1467-9191,Wiley,,100%,Hybrid
The Photogrammetric Record,1477-9730,Wiley,,100%,Hybrid
The Plant Journal,1365-313X,Wiley,,100%,Hybrid
The Political Quarterly,1467-923X,Wiley,,100%,Hybrid
The Prostate,1097-0045,Wiley,,100%,Hybrid
The RAND Journal of Economics,1756-2171,Wiley,,100%,Hybrid
The Reading Teacher,1936-2714,Wiley,,100%,Hybrid
The Russian Review,1467-9434,Wiley,,100%,Hybrid
The Scandinavian Journal of Economics,1467-9442,Wiley,,100%,Hybrid
The Southern Journal of Philosophy,2041-6962,Wiley,,100%,Hybrid
The Structural Design of Tall and Special Buildings,1541-7808,Wiley,,100%,Hybrid
The World Economy,1467-9701,Wiley,,100%,Hybrid
Theoria,1755-2567,Wiley,,100%,Hybrid
Therapeutic Apheresis and Dialysis,1744-9987,Wiley,,100%,Hybrid
Thunderbird International Business Review,1520-6874,Wiley,,100%,Hybrid
Tijdschrift voor Economische en Sociale Geografie,1467-9663,Wiley,,100%,Hybrid
Topics in Cognitive Science,1756-8765,Wiley,,100%,Hybrid
Traditional & Kampo Medicine,2053-4515,Wiley,,100%,Hybrid
Traffic,1600-0854,Wiley,,100%,Hybrid
Transactions in GIS,1467-9671,Wiley,,100%,Hybrid
Transactions of the Institute of British Geographers,1475-5661,Wiley,,100%,Hybrid
Transactions of the Philological Society,1467-968X,Wiley,,100%,Hybrid
Transactions on Emerging Telecommunications Technologies,2161-3915,Wiley,,100%,Hybrid
Transfusion,1537-2995,Wiley,,100%,Hybrid
Transfusion Medicine,1365-3148,Wiley,,100%,Hybrid
Transplant Infectious Disease,1399-3062,Wiley,,100%,Hybrid
Transportation Journal,2157-328X,Wiley,,100%,Hybrid
Tropical Medicine & International Health,1365-3156,Wiley,,100%,Hybrid
Ultrasound in Obstetrics & Gynecology,1469-0705,Wiley,,100%,Hybrid
Veterinary and Comparative Oncology,1476-5829,Wiley,,100%,Hybrid
Veterinary Clinical Pathology,1939-165X,Wiley,,100%,Hybrid
Veterinary Dermatology,1365-3164,Wiley,,100%,Hybrid
Veterinary Ophthalmology,1463-5224,Wiley,,100%,Hybrid
Veterinary Radiology & Ultrasound,1740-8261,Wiley,,100%,Hybrid
Veterinary Record,2042-7670,Wiley,,100%,Hybrid
Veterinary Record Case Reports,2052-6121,Wiley,,100%,Hybrid
Veterinary Surgery,1532-950X,Wiley,,100%,Hybrid
Vietnam Journal of Chemistry,2572-8288,Wiley,,100%,Hybrid
Visual Anthropology Review,1548-7458,Wiley,,100%,Hybrid
Vox Sanguinis,1423-0410,Wiley,,100%,Hybrid
Water and Environment Journal,1747-6593,Wiley,,100%,Hybrid
Water Environment Research,1554-7531,Wiley,,100%,Hybrid
Weather,1477-8696,Wiley,,100%,Hybrid
Weed Biology and Management,1445-6664,Wiley,,100%,Hybrid
Weed Research,1365-3180,Wiley,,100%,Hybrid
Wildlife Monographs,1938-5455,Wiley,,100%,Hybrid
WIREs Climate Change,1757-7799,Wiley,,100%,Hybrid
WIREs Cognitive Science,1939-5086,Wiley,,100%,Hybrid
WIREs Computational Molecular Science,1759-0884,Wiley,,100%,Hybrid
WIREs Computational Statistics,1939-0068,Wiley,,100%,Hybrid
WIREs Data Mining and Knowledge Discovery,1942-4795,Wiley,,100%,Hybrid
WIREs Energy and Environment,2041-840X,Wiley,,100%,Hybrid
WIREs Forensic Science,2573-9468,Wiley,,100%,Hybrid
WIREs Mechanisms of Disease,2692-9368,Wiley,,100%,Hybrid
WIREs Nanomedicine and Nanobiotechnology,1939-0041,Wiley,,100%,Hybrid
WIREs RNA,1757-7012,Wiley,,100%,Hybrid
WIREs Water,2049-1948,Wiley,,100%,Hybrid
World Affairs,1940-1582,Wiley,,100%,Hybrid
World Englishes,1467-971X,Wiley,,100%,Hybrid
World Food Policy,2372-8639,Wiley,,100%,Hybrid
World Journal of Surgery,1432-2323,Wiley,,100%,Hybrid
World Medical & Health Policy,1948-4682,Wiley,,100%,Hybrid
World Water Policy,2639-541X,Wiley,,100%,Hybrid
Worldviews on Evidence-Based Nursing,1741-6787,Wiley,,100%,Hybrid
Wound Repair and Regeneration,1524-475X,Wiley,,100%,Hybrid
Xenotransplantation,1399-3089,Wiley,,100%,Hybrid
X-Ray Spectrometry,1097-4539,Wiley,,100%,Hybrid
Yeast,1097-0061,Wiley,,100%,Hybrid
ZAMM - Journal of Applied Mathematics and Mechanics,1521-4001,Wiley,,100%,Hybrid
Zeitschrift für anorganische und allgemeine Chemie,1521-3749,Wiley,,100%,Hybrid
Zoo Biology,1098-2361,Wiley,,100%,Hybrid
Zoologica Scripta,1463-6409,Wiley,,100%,Hybrid
Zoonoses and Public Health,1863-2378,Wiley,,100%,Hybrid
Journal of Visual Impairment & Blindness,0145-482X,Sage,,100%,Hybrid
Acta Radiologica,0284-1851,Sage,,100%,Hybrid
Annals of Clinical Biochemistry,0004-5632,Sage,,100%,Hybrid
Clinical Ethics,1477-7509,Sage,,100%,Hybrid
Journal of Patient Safety and Risk Management,2516-0435,Sage,,100%,Hybrid
Hand Therapy,1758-9983,Sage,,100%,Hybrid
Health Services Management Research,0951-4848,Sage,,100%,Hybrid
International Journal of Care Coordination,2053-4345,Sage,,100%,Hybrid
International Journal of STD & AIDS,0956-4624,Sage,,100%,Hybrid
Journal of Health Services Research & Policy,1355-8196,Sage,,100%,Hybrid
Journal of Medical Biography,0967-7720,Sage,,100%,Hybrid
Journal of Medical Screening,0969-1413,Sage,,100%,Hybrid
Journal of Telemedicine and Telecare,1357-633X,Sage,,100%,Hybrid
Journal of the Royal Society of Medicine,0141-0768,Sage,,100%,Hybrid
Laboratory Animals,0023-6772,Sage,,100%,Hybrid
"Medicine, Science and the Law",0025-8024,Sage,,100%,Hybrid
Medico-Legal Journal,0025-8172,Sage,,100%,Hybrid
Post Reproductive Health,2053-3691,Sage,,100%,Hybrid
Obstetric Medicine,1753-495X,Sage,,100%,Hybrid
Phlebology,0268-3555,Sage,,100%,Hybrid
Scottish Medical Journal,0036-9330,Sage,,100%,Hybrid
Tropical Doctor,0049-4755,Sage,,100%,Hybrid
Ultrasound,1742-271X,Sage,,100%,Hybrid
Vascular,1708-5381,Sage,,100%,Hybrid
A Current Bibliography on African Affairs,0011-3255,Sage,,100%,Subscription
AATCC Journal of Research,2472-3444,Sage,,100%,Hybrid
About Campus,1086-4822,Sage,,100%,Hybrid
Abstracts in Anthropology,0001-3455,Sage,,100%,Subscription
Academic Forensic Pathology,1925-3621,Sage,,100%,Hybrid
Accounting History,1032-3732,Sage,,100%,Hybrid
Acta Sociologica,0001-6993,Sage,,100%,Hybrid
Action Research,1476-7503,Sage,,100%,Hybrid
Active Learning in Higher Education,1469-7874,Sage,,100%,Hybrid
Acupuncture in Medicine,0964-5284,Sage,,100%,Hybrid
Adaptive Behavior,1059-7123,Sage,,100%,Hybrid
ADCES in Practice,2633-559X,Sage,,100%,Hybrid
Administration & Society,0095-3997,Sage,,100%,Hybrid
Administrative Science Quarterly,0001-8392,Sage,,100%,Hybrid
Adoption & Fostering,0308-5759,Sage,,100%,Hybrid
Adult Education Quarterly,0741-7136,Sage,,100%,Hybrid
Adult Learning,1045-1595,Sage,,100%,Hybrid
Advances in Applied Ceramics,1743-6753,Sage,,100%,Hybrid
Advances in Dental Research,0895-9374,Sage,,100%,Subscription
Advances in Developing Human Resources,1523-4223,Sage,,100%,Hybrid
Advances in Structural Engineering,1369-4332,Sage,,100%,Hybrid
Affilia,0886-1099,Sage,,100%,Hybrid
Agrarian South: Journal of Political Economy,2277-9760,Sage,,100%,Hybrid
Alexandria,0955-7490,Sage,,100%,Hybrid
AlterNative,1177-1801,Sage,,100%,Hybrid
Alternative Law Journal,1037-969X,Sage,,100%,Hybrid
Alternatives,0304-3754,Sage,,100%,Hybrid
Alternatives to Laboratory Animals,0261-1929,Sage,,100%,Hybrid
American Behavioral Scientist,0002-7642,Sage,,100%,Hybrid
American Educational Research Journal,0002-8312,Sage,,100%,Hybrid
American Journal of Evaluation,1098-2140,Sage,,100%,Hybrid
American Journal of Health Promotion,0890-1171,Sage,,100%,Hybrid
American Journal of Hospice and Palliative Medicine,1049-9091,Sage,,100%,Hybrid
American Journal of Lifestyle Medicine,1559-8276,Sage,,100%,Hybrid
American Journal of Rhinology & Allergy,1945-8924,Sage,,100%,Hybrid
American Politics Research,1532-673X,Sage,,100%,Hybrid
American Sociological Review,0003-1224,Sage,,100%,Hybrid
American String Teacher,0003-1313,Sage,,100%,Hybrid
Anaesthesia and Intensive Care,0310-057X,Sage,,100%,Hybrid
Angiology,0003-3197,Sage,,100%,Hybrid
Anglican Theological Review,0003-3286,Sage,,100%,Hybrid
Animation,1746-8477,Sage,,100%,Hybrid
"Annals of Otology, Rhinology & Laryngology",0003-4894,Sage,,100%,Hybrid
Annals of Pharmacotherapy,1060-0280,Sage,,100%,Hybrid
Annals of the ICRP,0146-6453,Sage,,100%,Hybrid
Anthropological Theory,1463-4996,Sage,,100%,Hybrid
Antyajaa,2455-6327,Sage,,100%,Hybrid
Applied Earth Science,-,Sage,,100%,Hybrid
Applied Psychological Measurement,0146-6216,Sage,,100%,Hybrid
Applied Spectroscopy,0003-7028,Sage,,100%,Hybrid
Archive for the Psychology of Religion,0084-6724,Sage,,100%,Hybrid
Armed Forces & Society,0095-327X,Sage,,100%,Hybrid
Arthaniti - Journal of Economic Theory and Practice,0976-7479,Sage,,100%,Hybrid
Arts and Humanities in Higher Education,1474-0222,Sage,,100%,Hybrid
Asia Pacific Journal of Public Health,1010-5395,Sage,,100%,Hybrid
Asian and Pacific Migration Journal,0117-1968,Sage,,100%,Hybrid
Asian Cardiovascular and Thoracic Annals,0218-4923,Sage,,100%,Hybrid
Asian Journal of Comparative Politics,2057-8911,Sage,,100%,Hybrid
Asian Journal of Legal Education,2322-0058,Sage,,100%,Hybrid
Asian Journal of Management Cases,0972-8201,Sage,,100%,Hybrid
Asia-Pacific Journal of Management Research and Innovation,2319-510X,Sage,,100%,Hybrid
Asia-Pacific Journal of Rural Development,1018-5291,Sage,,100%,Hybrid
Assessment,1073-1911,Sage,,100%,Hybrid
Assessment for Effective Intervention,1534-5084,Sage,,100%,Hybrid
Australasian Journal of Early Childhood,1836-9391,Sage,,100%,Hybrid
Australasian Marketing Journal,1441-3582,Sage,,100%,Hybrid
Australasian Psychiatry,1039-8562,Sage,,100%,Hybrid
Australian & New Zealand Journal of Psychiatry,0004-8674,Sage,,100%,Hybrid
Australian Journal of Career Development,1038-4162,Sage,,100%,Hybrid
Australian Journal of Education,0004-9441,Sage,,100%,Hybrid
Australian Journal of Management,0312-8962,Sage,,100%,Hybrid
Autism,1362-3613,Sage,,100%,Hybrid
Avian Biology Research,1758-1559,Sage,,100%,Hybrid
Behavior Modification,0145-4455,Sage,,100%,Hybrid
Behavioral Disorders,0198-7429,Sage,,100%,Hybrid
Beyond Behavior,1074-2956,Sage,,100%,Hybrid
Biblical Theology Bulletin,0146-1079,Sage,,100%,Hybrid
Biological Research For Nursing,1099-8004,Sage,,100%,Hybrid
BioScope: South Asian Screen Studies,0974-9276,Sage,,100%,Hybrid
BMS: Bulletin Soc Methodlgy/Bulletin de Methodologie Sociologiqu,0759-1063,Sage,,100%,Hybrid
Body & Society,1357-034X,Sage,,100%,Hybrid
British Journal of Music Therapy,1359-4575,Sage,,100%,Hybrid
British Journal of Occupational Therapy,0308-0226,Sage,,100%,Hybrid
British Journal of Pain,2049-4637,Sage,,100%,Hybrid
British Journal of Visual Impairment,0264-6196,Sage,,100%,Hybrid
British Journalism Review,0956-4748,Sage,,100%,Hybrid
Building Acoustics,1351-010X,Sage,,100%,Hybrid
Building Services Engineering Research and Technology,0143-6244,Sage,,100%,Hybrid
"Bulletin of Science, Technology & Society",0270-4676,Sage,,100%,Hybrid
Business & Society,0007-6503,Sage,,100%,Hybrid
Business and Professional Communication Quarterly,2329-4906,Sage,,100%,Hybrid
Business Information Review,0266-3821,Sage,,100%,Hybrid
Business Perspectives and Research,2278-5337,Sage,,100%,Hybrid
Cahiers Elisabethains,0184-7678,Sage,,100%,Hybrid
Calcutta Statistical Association Bulletin,0008-0683,Sage,,100%,Hybrid
California Management Review,0008-1256,Sage,,100%,Hybrid
Canadian Association of Radiologists Journal,0846-5371,Sage,,100%,Hybrid
Canadian Journal of Nursing Research,0844-5621,Sage,,100%,Hybrid
Canadian Journal of Occupational Therapy,0008-4174,Sage,,100%,Hybrid
Canadian Journal of School Psychology,0829-5735,Sage,,100%,Hybrid
Canadian Pharmacists Journal,1715-1635,Sage,,100%,Hybrid
Capital & Class,0309-8168,Sage,,100%,Hybrid
Career Development and Transition for Exceptional Individuals,2165-1434,Sage,,100%,Hybrid
Cellular Polymers,0262-4893,Sage,,100%,Hybrid
Child Language Teaching and Therapy,0265-6590,Sage,,100%,Hybrid
Child Maltreatment,1077-5595,Sage,,100%,Hybrid
Childhood,0907-5682,Sage,,100%,Hybrid
China Information,0920-203X,Sage,,100%,Hybrid
China Report,0009-4455,Sage,,100%,Hybrid
Chinese Journal of Sociology,2057-150X,Sage,,100%,Hybrid
Chinese Journal of Transnational Law,2753-412X,Sage,,100%,Hybrid
Chinese Public Administration Review,1539-6754,Sage,,100%,Hybrid
Christian Education Journal,0739-8913,Sage,,100%,Hybrid
Chronic Illness,1742-3953,Sage,,100%,Hybrid
"Citizenship, Social & Economics Education",1478-8047,Sage,,100%,Hybrid
City & Community,1535-6841,Sage,,100%,Hybrid
Clin-Alert,0069-4770,Sage,,100%,Hybrid
Clinical Case Studies,1534-6501,Sage,,100%,Hybrid
Clinical Child Psychology and Psychiatry,1359-1045,Sage,,100%,Hybrid
Clinical EEG and Neuroscience,1550-0594,Sage,,100%,Hybrid
Clinical Nursing Research,1054-7738,Sage,,100%,Hybrid
Clinical Pediatrics,0009-9228,Sage,,100%,Hybrid
Clinical Psychological Science,2167-7026,Sage,,100%,Hybrid
Clinical Rehabilitation,0269-2155,Sage,,100%,Hybrid
Clinical Trials,1740-7745,Sage,,100%,Hybrid
Clothing and Textiles Research Journal,0887-302X,Sage,,100%,Hybrid
Coastal Studies & Society,2634-9817,Sage,,100%,Hybrid
Collections,1550-1906,Sage,,100%,Hybrid
Common Law World Review,1473-7795,Sage,,100%,Hybrid
Communication and Sport,2167-4795,Sage,,100%,Hybrid
Communication Disorders Quarterly,1525-7401,Sage,,100%,Hybrid
Communication Research,0093-6502,Sage,,100%,Hybrid
Community College Review,0091-5521,Sage,,100%,Hybrid
Community Health Equity Research & Policy,2752-535X,Sage,,100%,Hybrid
Comparative Political Studies,0010-4140,Sage,,100%,Hybrid
Compensation & Benefits Review,0886-3687,Sage,,100%,Hybrid
Competition and Change,1024-5294,Sage,,100%,Hybrid
Competition and Regulation in Network Industries,1783-5917,Sage,,100%,Hybrid
Concurrent Engineering,1063-293X,Sage,,100%,Hybrid
Conflict Management and Peace Science,0738-8942,Sage,,100%,Hybrid
Contemporary Drug Problems,0091-4509,Sage,,100%,Hybrid
Contemporary Education Dialogue,0973-1849,Sage,,100%,Hybrid
Contemporary Issues in Early Childhood,1463-9491,Sage,,100%,Hybrid
Contemporary Review of the Middle East,2347-7989,Sage,,100%,Hybrid
Contemporary Sociology,0094-3061,Sage,,100%,Hybrid
Contemporary Voice of Dalit,2455-328X,Sage,,100%,Hybrid
Contexts,1536-5042,Sage,,100%,Hybrid
Contributions to Indian Sociology,0069-9659,Sage,,100%,Hybrid
Convergence,1354-8565,Sage,,100%,Hybrid
Cooperation and Conflict,0010-8367,Sage,,100%,Hybrid
Cornell Hospitality Quarterly,1938-9655,Sage,,100%,Hybrid
"Corrosion Engineering, Science and Technology",1478-422X,Sage,,100%,Hybrid
Craniomaxillofacial Trauma & Reconstruction,1943-3875,Sage,,100%,Hybrid
Creative Nursing,1078-4535,Sage,,100%,Hybrid
Crime & Delinquency,0011-1287,Sage,,100%,Hybrid
"Crime, Media, Culture",1741-6590,Sage,,100%,Hybrid
Criminal Justice and Behavior,0093-8548,Sage,,100%,Hybrid
Criminal Justice Policy Review,0887-4034,Sage,,100%,Hybrid
Criminal Justice Review,0734-0168,Sage,,100%,Hybrid
Criminology & Criminal Justice,1748-8958,Sage,,100%,Hybrid
Critical Research on Religion,2050-3032,Sage,,100%,Hybrid
Critical Reviews in Oral Biology & Medicine,-,Sage,,100%,
Critical Social Policy,0261-0183,Sage,,100%,Hybrid
Critical Sociology,0896-9205,Sage,,100%,Hybrid
Critical Studies in Television,1749-6020,Sage,,100%,Hybrid
Critique of Anthropology,0308-275X,Sage,,100%,Hybrid
Cross-Cultural Research,1069-3971,Sage,,100%,Hybrid
Cultural Dynamics,0921-3740,Sage,,100%,Hybrid
Cultural Geographies,1474-4740,Sage,,100%,Hybrid
Cultural Sociology,1749-9755,Sage,,100%,Hybrid
Cultural Studies - Critical Methodologies,1532-7086,Sage,,100%,Hybrid
Culture & Psychology,1354-067X,Sage,,100%,Hybrid
Culture and Education,1135-6405,Sage,,100%,Hybrid
Current Directions in Psychological Science,0963-7214,Sage,,100%,Hybrid
Current Sociology,0011-3921,Sage,,100%,Hybrid
Currents in Biblical Research,1476-993X,Sage,,100%,Hybrid
Dementia,1471-3012,Sage,,100%,Hybrid
Developmental Child Welfare,2516-1032,Sage,,100%,Hybrid
Dialogues in Human Geography,2043-8206,Sage,,100%,Hybrid
Dialogues in Sociology,-,Sage,,100%,Hybrid
Dialogues in Urban Research,2754-1258,Sage,,100%,Hybrid
Dialogues on Climate Change,-,Sage,,100%,Hybrid
Dialogues on Digital Society,-,Sage,,100%,Hybrid
Discourse & Communication,1750-4813,Sage,,100%,Hybrid
Discourse & Society,0957-9265,Sage,,100%,Hybrid
Discourse Studies,1461-4456,Sage,,100%,Hybrid
"DIY, Alternative Cultures, & Society",2753-8702,Sage,,100%,Hybrid
"Drug Science, Policy and Law",2050-3245,Sage,,100%,Hybrid
Earthquake Spectra,8755-2930,Sage,,100%,Hybrid
East European Politics and Societies,0888-3254,Sage,,100%,Hybrid
Economic and Industrial Democracy,0143-831X,Sage,,100%,Hybrid
Economic Development Quarterly,0891-2424,Sage,,100%,Hybrid
Education and Urban Society,0013-1245,Sage,,100%,Hybrid
"Education, Citizenship and Social Justice",1746-1979,Sage,,100%,Hybrid
Educational Administration Quarterly,0013-161X,Sage,,100%,Hybrid
Educational and Psychological Measurement,0013-1644,Sage,,100%,Hybrid
Educational Evaluation and Policy Analysis,0162-3737,Sage,,100%,Hybrid
Educational Management Administration & Leadership,1741-1432,Sage,,100%,Hybrid
Educational Policy,0895-9048,Sage,,100%,Hybrid
Educational Researcher,0013-189X,Sage,,100%,Hybrid
E-Learning and Digital Media,2042-7530,Sage,,100%,Hybrid
Electronic News,1931-2431,Sage,,100%,Hybrid
Emerging Adulthood,2167-6968,Sage,,100%,Hybrid
Emerging Economy Studies,2394-9015,Sage,,100%,Hybrid
Emotion Review,1754-0739,Sage,,100%,Hybrid
Empirical Studies of the Arts,0276-2374,Sage,,100%,Hybrid
Energy & Environment,0958-305X,Sage,,100%,Hybrid
Entrepreneurship Education and Pedagogy,2515-1274,Sage,,100%,Hybrid
Entrepreneurship Theory and Practice,1042-2587,Sage,,100%,Hybrid
Environment and Behavior,0013-9165,Sage,,100%,Hybrid
Environment and Planning A,0308-518X,Sage,,100%,Hybrid
Environment and Planning B: Urban Analytics and City Science,2399-8083,Sage,,100%,Hybrid
Environment and Planning C: Politics and Space,2399-6544,Sage,,100%,Hybrid
Environment and Planning D: Society and Space,0263-7758,Sage,,100%,Hybrid
Environment and Planning E: Nature and Space,2514-8486,Sage,,100%,Hybrid
Environment and Planning F,2634-9825,Sage,,100%,Hybrid
Environment and Security,2753-8796,Sage,,100%,Hybrid
Environment and Urbanization,0956-2478,Sage,,100%,Hybrid
Environment and Urbanization ASIA,0975-4253,Sage,,100%,Hybrid
Environmental Law Review,1461-4529,Sage,,100%,Hybrid
Environmental Values,0963-2719,Sage,,100%,Hybrid
Equity in Education & Society,2752-6461,Sage,,100%,Hybrid
Ergonomics in Design,1064-8046,Sage,,100%,Hybrid
Ethnicities,1468-7968,Sage,,100%,Hybrid
Ethnography,1466-1381,Sage,,100%,Hybrid
European Educational Research Journal,1474-9041,Sage,,100%,Hybrid
European History Quarterly,0265-6914,Sage,,100%,Hybrid
European Journal of Communication,0267-3231,Sage,,100%,Hybrid
European Journal of Criminology,1477-3708,Sage,,100%,Hybrid
European Journal of Cultural Studies,1367-5494,Sage,,100%,Hybrid
European Journal of Industrial Relations,0959-6801,Sage,,100%,Hybrid
European Journal of International Relations,1354-0661,Sage,,100%,Hybrid
European Journal of Mass Spectrometry,1469-0667,Sage,,100%,Hybrid
European Journal of Ophthalmology,1120-6721,Sage,,100%,Hybrid
European Journal of Personality,0890-2070,Sage,,100%,Hybrid
European Journal of Political Theory,1474-8851,Sage,,100%,Hybrid
European Journal of Probation,2066-2203,Sage,,100%,Hybrid
European Journal of Social Security,1388-2627,Sage,,100%,Hybrid
European Journal of Social Theory,1368-4310,Sage,,100%,Hybrid
European Journal of Women's Studies,1350-5068,Sage,,100%,Hybrid
European Labour Law Journal,2031-9525,Sage,,100%,Hybrid
European Physical Education Review,1356-336X,Sage,,100%,Hybrid
European Stroke Journal,2396-9873,Sage,,100%,Hybrid
European Union Politics,1465-1165,Sage,,100%,Hybrid
European Urban and Regional Studies,0969-7764,Sage,,100%,Hybrid
Evaluation,1356-3890,Sage,,100%,Hybrid
Evaluation & the Health Professions,0163-2787,Sage,,100%,Hybrid
Evaluation Journal of Australasia,1035-719X,Sage,,100%,Hybrid
Evaluation Review,0193-841X,Sage,,100%,Hybrid
Exceptional Children,0014-4029,Sage,,100%,Hybrid
FACE,2732-5016,Sage,,100%,Hybrid
Families in Society,1044-3894,Sage,,100%,Hybrid
Family Business Review,0894-4865,Sage,,100%,Hybrid
Federal Law Review,0067-205X,Sage,,100%,Hybrid
Feminism & Psychology,0959-3535,Sage,,100%,Hybrid
Feminist Criminology,1557-0851,Sage,,100%,Hybrid
Feminist Review,0141-7789,Sage,,100%,Hybrid
